"ano.inicio","edad","estado.civil","raza","nivel.educacion","tipo.trabajo","salud","seguro.medico","log.salario","salario"
2006,18,"soltero","blanca","No tiene bachillerato","Industrial","buena","no",431806333496276,750431540173515
2004,24,"soltero","blanca","Graduado Universitario","Servicios","muy buena","no",425527250510331,704760196469445
2003,45,"casado","blanca","Algun Curso Universidad","Industrial","buena","si",48750612633917,130982177377461
2003,43,"casado","asiatica","Graduado Universitario","Servicios","muy buena","si",504139268515823,15468529299563
2005,50,"divorciado","blanca","Bachillerato","Servicios","buena","si",431806333496276,750431540173515
2008,54,"casado","blanca","Graduado Universitario","Servicios","muy buena","si",484509804001426,127115743812184
2009,44,"casado","otra","Algun Curso Universidad","Industrial","muy buena","si",513302127864665,169528538036679
2008,30,"soltero","asiatica","Algun Curso Universidad","Servicios","buena","si",47160033436348,111720849360989
2006,41,"soltero","negra","Algun Curso Universidad","Servicios","muy buena","si",477815125038364,118884359339886
2004,52,"casado","blanca","Bachillerato","Servicios","muy buena","si",485733249643127,128680488220624
2007,45,"divorciado","blanca","Algun Curso Universidad","Servicios","buena","si",476342799356294,117146816914805
2007,34,"casado","blanca","Bachillerato","Industrial","muy buena","no",439794000867204,812832532842527
2005,35,"soltero","blanca","Bachillerato","Servicios","muy buena","si",449415459401844,894924795180001
2003,39,"casado","blanca","Graduado Universitario","Industrial","muy buena","si",490308998699194,134705375118879
2009,54,"casado","blanca","Bachillerato","Servicios","muy buena","si",490308998699194,134705375118879
2009,51,"casado","blanca","Algun Curso Universidad","Industrial","muy buena","si",450514997831991,904819133566401
2003,37,"soltero","asiatica","Graduado Universitario","Industrial","muy buena","no",441497334797082,826796372966372
2006,50,"casado","blanca","Master Universitario","Servicios","muy buena","no",536055176170483,212842352315711
2007,56,"casado","blanca","Graduado Universitario","Industrial","buena","si",486102634169657,129156693004704
2003,37,"soltero","blanca","Algun Curso Universidad","Industrial","muy buena","si",45910646070265,985993438603892
2003,38,"casado","asiatica","Graduado Universitario","Servicios","muy buena","no",530102999566398,200543262324662
2005,40,"divorciado","blanca","Bachillerato","Servicios","muy buena","no",392012332629072,50406660861266
2009,75,"casado","blanca","Graduado Universitario","Industrial","muy buena","si",444715803134222,853839403789827
2007,40,"casado","blanca","Graduado Universitario","Servicios","muy buena","no",507918124604763,160642475408263
2006,38,"soltero","blanca","Bachillerato","Industrial","buena","no",454406804435028,940727147457005
2005,49,"casado","blanca","Master Universitario","Servicios","muy buena","si",562618633492728,277601417511009
2006,43,"casado","blanca","Bachillerato","Industrial","buena","si",443136376415899,840459576539924
2004,34,"casado","otra","Bachillerato","Industrial","buena","si",417609125905568,651108537153447
2008,57,"casado","blanca","Bachillerato","Industrial","muy buena","no",475587485567249,116265324062503
2003,18,"soltero","negra","Bachillerato","Industrial","muy buena","si",425527250510331,704760196469445
2004,55,"casado","blanca","Master Universitario","Servicios","muy buena","si",527646180417324,195676307990453
2005,51,"casado","blanca","Algun Curso Universidad","Servicios","muy buena","si",461909333062674,101402052302992
2008,33,"soltero","blanca","Master Universitario","Industrial","muy buena","no",439794000867204,812832532842527
2005,34,"soltero","blanca","Bachillerato","Industrial","muy buena","no",47160033436348,111720849360989
2006,36,"casado","blanca","Graduado Universitario","Servicios","muy buena","si",449847596780109,898800467811106
2003,56,"soltero","blanca","Master Universitario","Servicios","buena","si",447712125471966,879810327856054
2006,70,"soltero","blanca","Graduado Universitario","Industrial","buena","si",447712125471966,879810327856054
2004,25,"soltero","blanca","Graduado Universitario","Industrial","muy buena","si",464345267648619,10390247060316
2006,32,"casado","blanca","Algun Curso Universidad","Industrial","muy buena","no",466275783168157,105927810775063
